"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.1.11",3244,"1.2.2.23",139,2,203,1,133,1,70,0.115526,0.0004289999999999988,0,0
"1.1.1.94",3267,"1.2.2.138",139,2,230,1,160,1,70,0.077166,5.099999999999549e-05,0,0
"1.1.2.132",5544,"1.2.4.217",139,2,185,1,115,1,70,0.084501,0.0005529999999999979,0,0
"1.1.2.141",3699,"1.2.3.159",139,2,300,1,230,1,70,0.103169,4.099999999999937e-05,0,0
"1.1.3.4",49606,"1.2.183.201",139,2,300,1,230,1,70,0.039381,0.0006079999999999974,0,0
"1.1.4.182",48148,"1.2.177.244",139,2,300,1,230,1,70,0.110231,0.0005640000000000089,0,0
"1.1.4.223",4219,"1.2.177.242",139,2,203,1,133,1,70,0.049234,0.0004359999999999989,0,0
"1.1.5.146",48394,"1.2.6.158",139,2,260,1,190,1,70,0.029268,0.00033200000000000243,0,0
"1.1.5.210",48473,"1.2.6.238",139,2,230,1,160,1,70,0.115251,4.200000000000037e-05,0,0
"1.1.6.229",4725,"1.2.188.8",139,2,203,1,133,1,70,0.080263,0.0005700000000000011,0,0
"1.1.7.173",4913,"1.2.8.218",139,2,203,1,133,1,70,0.08533,0.00018799999999999373,0,0
"1.1.7.255",48912,"1.2.8.240",139,2,203,1,133,1,70,0.023296,0.0005399999999999988,0,0
"1.1.8.4",4857,"1.2.188.253",139,2,203,1,133,1,70,0.052289,0.0006299999999999986,0,0
"1.1.8.8",4945,"1.2.189.39",139,4,366,2,185,2,181,0.009184,0.145859,10146.785594306832,9927.395635511008
"1.1.9.0",45590,"1.2.11.231",139,2,185,1,115,1,70,0.048926,6.899999999999962e-05,0,0
"1.1.9.40",43166,"1.2.10.88",139,2,260,1,190,1,70,0.113324,4.900000000000737e-05,0,0
"1.1.9.105",5315,"1.2.190.132",139,2,260,1,190,1,70,0.130204,0.00036000000000002697,0,0
"1.1.9.121",5343,"1.2.10.163",139,2,203,1,133,1,70,0.071278,5.400000000001237e-05,0,0
"1.1.9.196",43703,"1.2.190.214",139,2,300,1,230,1,70,0.085409,0.0005089999999999956,0,0
"1.1.9.205",43256,"1.2.190.211",139,2,203,1,133,1,70,0.141136,0.00014499999999997848,0,0
"1.1.10.200",5679,"1.2.11.244",139,2,203,1,133,1,70,0.094197,0.00027699999999999947,0,0
"1.1.10.204",5705,"1.2.191.254",139,2,185,1,115,1,70,0.094435,0.0007069999999999993,0,0
"1.1.10.206",5729,"1.2.11.226",139,2,230,1,160,1,70,0.118212,0.0005420000000000008,0,0
"1.1.11.77",43663,"1.2.184.86",139,2,260,1,190,1,70,0.054151,0.000455000000000004,0,0
"1.1.11.152",5930,"1.2.184.211",139,2,185,1,115,1,70,0.060238,4.599999999999743e-05,0,0
"1.1.11.232",6026,"1.2.13.21",139,2,260,1,190,1,70,0.069297,0.0005409999999999998,0,0
"1.1.12.19",43913,"1.2.185.45",139,2,230,1,160,1,70,0.109334,0.00016599999999999948,0,0
"1.1.12.39",5971,"1.2.13.53",139,2,260,1,190,1,70,0.010175,0.00037000000000000054,0,0
"1.1.12.52",6057,"1.2.185.84",139,2,260,1,190,1,70,0.014197,0.0006770000000000005,0,0
"1.1.12.71",43987,"1.2.185.93",139,2,203,1,133,1,70,0.045926,0.00030000000000000165,0,0
"1.1.12.173",44029,"1.2.13.182",139,2,260,1,190,1,70,0.051155,0.0003850000000000034,0,0
"1.1.13.211",6458,"1.2.187.27",139,2,185,1,115,1,70,0.077059,0.0004740000000000022,0,0
