"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.35.53",61499,"1.2.87.126",80,2,467,1,397,1,70,0.138969,0.0004639999999999922,0,0
"1.1.40.84",35057,"1.2.48.21",80,3,2204,2,2134,1,70,0.024991,0.0007430000000000006,0,0
"1.1.48.15",54817,"1.2.101.95",80,1,70,1,70,0,0,1e-06,0,0,0
"1.1.53.5",29508,"1.2.218.135",80,2,534,1,464,1,70,0.063039,0.0007440000000000085,0,0
"1.1.64.206",53298,"1.2.195.120",80,2,467,1,397,1,70,0.146141,0.0003220000000000167,0,0
"1.1.66.64",31505,"1.2.194.80",80,2,534,1,464,1,70,0.019092,0.00043400000000000036,0,0
"1.1.77.188",22201,"1.2.229.253",80,3,2204,2,2134,1,70,0.095202,0.0005670000000000119,0,0
"1.1.82.110",23405,"1.2.226.171",80,3,2204,2,2134,1,70,0.1438,0.0005219999999999947,0,0
"1.1.103.241",58121,"1.2.221.6",80,3,1717,2,1647,1,70,0.071054,0.0006439999999999918,0,0
"1.1.117.160",12383,"1.2.159.166",80,2,467,1,397,1,70,0.02731,8.299999999999974e-05,0,0
"1.1.160.155",30469,"1.2.198.68",80,6,1909,4,1765,2,144,0.112115,0.0011959999999999887,0,0
"1.1.217.141",12336,"1.2.43.112",80,2,534,1,464,1,70,0.123093,0.0005860000000000032,0,0
"1.1.241.60",33252,"1.2.125.41",80,2,467,1,397,1,70,0.099073,0.0006060000000000093,0,0
"1.2.0.1",80,"1.1.162.232",64701,33,48646,32,48576,1,70,0.121358,0.0005840000000000012,0,0
"1.2.0.3",80,"1.1.10.167",47310,33,48646,32,48576,1,70,0.14536,0.0008500000000000174,0,0
"1.2.0.8",80,"1.1.73.136",1221,34,47635,32,47495,2,140,0.047048,0.0008760000000000018,0,0
"1.2.0.11",80,"1.1.71.39",1219,33,48646,32,48576,1,70,0.09009,0.0009199999999999903,0,0
"1.2.0.20",80,"1.1.253.234",1236,17,24358,16,24288,1,70,0.156669,0.00027599999999999847,0,0
"1.2.0.29",80,"1.1.73.117",47343,34,47635,32,47495,2,140,0.138923,0.0010050000000000059,0,0
"1.2.0.32",80,"1.1.70.253",47321,34,47635,32,47495,2,140,0.103818,0.0012150000000000077,0,0
"1.2.0.33",80,"1.1.73.190",47329,11,15250,10,15180,1,70,0.162379,0.0005410000000000137,0,0
"1.2.0.36",80,"1.1.75.103",47325,34,47635,32,47495,2,140,0.15582,0.0011210000000000109,0,0
"1.2.0.47",80,"1.1.76.126",47339,34,47635,32,47495,2,140,0.072237,0.0007000000000000062,0,0
"1.2.0.51",80,"1.1.249.15",47345,58,84067,56,83927,2,140,0.013345,0.125589,5346137.0024444815,8917.978485376903
